rank,name,country,latitude,longitude,easting,northing,bbox_min_e,bbox_max_e,bbox_min_n,bbox_max_n,population
141,Paisley,Scotland,55.83173,-4.43254,247740,662510,245000,250000,660000,665000,77270
142,Shrewsbury,England,52.71009,-2.75208,349286,312757,345000,350000,310000,315000,76782
143,Fylde,England,53.83333,-2.91667,339770,437842,335000,340000,435000,440000,76500
144,Crewe,England,53.09787,-2.44161,370527,355721,370000,375000,355000,360000,76437
145,Bracknell,England,51.41363,-0.75054,486990,169030,485000,490000,165000,170000,76103
146,East Kilbride,Scotland,55.76412,-4.17669,263525,654454,260000,265000,650000,655000,75310
147,Hove,England,50.83088,-0.1672,529170,105083,525000,530000,105000,110000,75174
148,Aylesbury,England,51.81665,-0.81458,481810,213778,480000,485000,210000,215000,74748
149,Purley,England,51.33678,-0.11201,531613,161435,530000,535000,160000,165000,72000
150,Guildford,England,51.23536,-0.57427,499633,149429,495000,500000,145000,150000,71873
